,problem,answer,topic,pred,score
19,"A wildlife researcher is studying a pack of wolves in a 450 square kilometer reserve. Initially, the wolf population density was 2.4 wolves per 100 square kilometers. After a successful conservation effort, the population increased by 35%. However, due to limited resources, 15% of the new population had to migrate to neighboring territories. How many wolves currently remain in the reserve? Round to the nearest whole number.",двенадцать,wildlife,тринадцать,0
20,A park ranger counted 15 rabbits in the morning and 9 more rabbits in the evening in the wildlife sanctuary. How many rabbits did the ranger count in total?,двадцать четыре,wildlife,двадцать четыре,1
21,"Maria is making cookies. Each batch requires 6 eggs, and she wants to make 3 batches. How many eggs does Maria need in total?",achtzehn,cooking,achtzehn,1
22,"A restaurant kitchen is preparing a special sauce that requires reducing wine by 75% of its original volume through simmering. They start with 48 liters of wine and need to make 4 equal batches. The reduction process takes 45 minutes per batch, and they have 2 stoves that can each hold 2 pots. If each pot can process up to 7 liters at a time, and they need the sauce ready in 2 hours, how many additional stoves do they need to meet their deadline?",zwei,cooking,zwei,1
23,"A spacecraft is orbiting a distant exoplanet at a velocity of 48,000 kilometers per hour. Scientists need to adjust its speed to 75% of the current velocity to maintain a stable orbit. If the deceleration process takes 3 hours and must be done at a constant rate, by how many kilometers per hour must the spacecraft's velocity decrease each minute to achieve the target speed? Round your answer to the nearest whole number.",سبعة و ستون,outer space,ستة و ستون,0
24,"A chef is preparing a large banquet and needs to make a specific amount of reduction sauce. The recipe requires simmering 15 liters of liquid until it reduces to 35% of its original volume. If the sauce needs to be divided equally among 42 plates, and each plate should receive 125 milliliters of the final sauce, how many additional liters of initial liquid (before reduction) does the chef need to prepare? Round to the nearest whole number.",,cooking,null,0
25,"The International Space Station orbits Earth at an average altitude of 408 kilometers, completing 15.5 orbits per Earth day. During a 30-day research mission, scientists noticed that solar radiation reduced the station's velocity by 0.02% each day. If the initial orbital velocity was 27,600 km/h, what was the station's final velocity in km/h after the 30-day mission? Round to the nearest whole number.",٢٧٤٣٤,outer space,٢٧٤٣٤,1
26,"A chef is preparing a large batch of chocolate chip cookies. The recipe requires 2¾ cups of flour for every dozen cookies. If the chef needs to make 30 cookies, how many cups of flour will they need in total?",sechs und sieben Achtel,cooking,sechs und sieben Achtel,1
27,"A chef is preparing lasagna for a family reunion. The recipe calls for 2¾ pounds of mozzarella cheese per lasagna pan. If the chef needs to make 5 pans of lasagna and cheese costs $8 per pound, how many dollars will the chef spend on mozzarella cheese?",einhundertzehn,cooking,einhundertzehn,1
28,"A space station is orbiting Earth at an altitude of 408 kilometers. It completes one orbit every 92.68 minutes while traveling at a constant speed. If mission control needs to track a specific module that detached from the station and is moving 15% slower, what would be the new orbital period in minutes? Additionally, how many complete orbits will the detached module make in a 24-hour period? Round your final answer to the nearest whole number.",١٣,outer space,"الجواب: 109, 13",0
29,"A space telescope observes a binary star system where two stars orbit each other. The first star has 85% of the mass of our Sun, while the second star has 40% of the first star's mass. The combined gravitational force of these stars affects a planet orbiting them at a distance of 150 million kilometers. If our Sun's mass is 2 × 10^30 kg, and we know that gravitational force is directly proportional to mass, what percentage stronger or weaker is the gravitational force on this planet compared to Earth's gravitational force from the Sun? (Earth is 150 million kilometers from the Sun). Round to the nearest whole number.",تسعة عشر,outer space,تسعة عشر,1
30,"A wildlife sanctuary tracks the migration patterns of monarch butterflies. Initially, they tagged 48 butterflies, and found that 75% survived the first migration. In the second year, the surviving butterflies increased by 40%, but then 20% were lost to predators. If each surviving butterfly lays 5 eggs, and only 4/5 of the eggs hatch successfully, how many new butterflies will emerge in total?",восемьдесят один,wildlife,сто шестьдесят,0
31,"In a music concert, there were 15 singers in the choir and 7 musicians playing instruments. How many performers were there in total?",twenty-two,music,twenty-two,1
32,A soccer team won 15 games and lost 7 games this season. How many games did they play in total?,이십이,sports,스물두,0
33,"A small space shuttle has 15 astronauts on board. If 7 astronauts exit the shuttle for a space walk, how many astronauts remain inside the shuttle?",ثمانية,outer space,٨,0
34,A soccer team won 7 games and lost 3 games this season. How many games did they play in total?,열,sports,열 (10),0
35,"A basketball team scored 72 points in a game. If 1/4 of their points came from free throws, and each free throw is worth 1 point, how many shots did they make from the free throw line?",십팔,sports,열여덟,0
36,"A wildlife researcher is studying a group of 84 flamingos at a lake. During migration season, 3/4 of the flamingos fly to a different location. If each remaining flamingo needs 2 pounds of food per day, how many pounds of food should the researcher prepare daily for the flamingos that stayed behind?",сорок два,wildlife,сорок два,1
37,"A wildlife sanctuary is monitoring a group of endangered butterflies. They started with 72 butterflies, but during a harsh winter, 1/4 of them didn't survive. In the spring, each remaining butterfly laid 2 eggs that successfully hatched. How many butterflies are there now in total?",сто шестьдесят два,wildlife,сто шестьдесят два,1
38,"Sara is making chocolate chip cookies. The recipe calls for 15 cookies on each baking tray. If she has 2 baking trays, how many cookies can she make in total?",dreißig,cooking,dreißig,1
39,"On a space station, scientists are studying the effect of zero gravity on crystal growth. They have 48 crystal samples growing at a rate of 2.5 millimeters per day. After 15 days, they notice that 30% of the crystals were contaminated and had to be discarded. The remaining crystals continued growing for another 12 days. If each crystal that successfully grew reached its full length, what was the total combined length of all successful crystals in millimeters?",٢٢٢٨,outer space,٢٢٩٥,0
40,A park ranger counted 15 deer in the morning and then spotted 7 more deer in the afternoon. How many deer did the ranger count in total?,двадцать два,wildlife,двадцать два,1
41,"A restaurant chef is preparing soup in a large pot. The recipe calls for 2¾ cups of diced carrots per batch, and she needs to make 8 batches for the day. If each cup of diced carrots costs $1.50, how much money will the chef spend on carrots in total?",dreiunddreißig,cooking,dreiunddreißig,1
42,An astronaut collected 15 moon rocks during their morning walk and 12 moon rocks during their evening walk on the lunar surface. How many moon rocks did they collect in total?,سبعة وعشرون,outer space,٢٧,0
43,"A high school music band is organizing a concert fundraiser. They sold tickets for $8 each and collected $480 in total. If 1/4 of the ticket revenue will be spent on new sheet music, how much money will be available for new sheet music?",one hundred and twenty,music,one hundred twenty,0
44,"A basketball team's shooting accuracy is currently 48%. Their coach wants to improve the team's overall accuracy to 52% by having their star player practice extra shots. If the team takes an average of 80 shots per game, and the star player currently takes 25% of all shots with a 50% accuracy rate, what accuracy percentage must the star player achieve in their shots to help the team reach their 52% goal? Assume other players' accuracy remains constant at 47%. Round your answer to the nearest whole number.",육십칠,sports,sixty-seven,0
45,Sarah's music playlist has 15 pop songs and 9 rock songs. How many songs are in her playlist in total?,twenty-four,music,twenty-four,1
46,"A basketball team scored an average of 72 points per game in their first 8 games. In their next 4 games, they scored 1/3 fewer points per game. What was their average score in these last 4 games?",사십팔,sports,사십팔,1
47,Maria is baking cookies. She has 15 chocolate chip cookies on one tray and 12 oatmeal cookies on another tray. How many cookies does she have in total?,siebenundzwanzig,cooking,siebenundzwanzig,1
48,A soccer team won 15 games and lost 7 games this season. How many games did they play in total?,이십이,sports,스물두,0
49,A park ranger counted 15 deer in the morning and 9 more deer joined the herd in the afternoon. How many deer are there in total?,двадцать четыре,wildlife,двадцать четыре,1
